Pathway	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
PWY-7574	0	0	0	0	0.98866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7616	1.3024	0.564929	0	0	0	1.42647	0	2.23832	0	1.43506	0	0	0	0	0	0	0	0	0.369314	0	0.398497	0	1.94702	0	0	0	0.772035	0.721679	0	0	0	0	0	0	0	0.240138	0.239157	0	2.96405	1.25702	2.72719	0	4.20842	0	0	0	0	0	1.87311	0	0	0	2.99147	0	0	6.18603	0	1.32508	0.549878	13.2069	0.895177	0.459837	0	0	0.952131	0	0	0.622855	0	0	0	0	0	0	0	0	1.59953	1.07418	0	0	0	0	0	0	0.359204	0	1.49693	1.20249	0.819855	0	0	2.36667	0	0	0	0	0	0	0	0	0	1.13823	0	0	4.07582	0	0	0	0	17.0383	0	0	0	0
PWY-7663	267.355	280.931	271.849	116.335	1223.14	465.222	343.325	271.314	207.43	252.861	322.511	490.908	20.3712	314.929	566.343	391.826	206.672	290.3	125.88	247.968	274.561	203.113	160.228	233.151	207.016	68.9814	209.689	305.109	159.424	264.377	268.356	158.016	279.787	192.72	221.518	127.848	127.693	230.426	255.432	230.383	273.234	157.157	183.097	110.313	140.431	354.65	191.56	75.1798	91.2519	122.365	186.178	103.857	286.58	383.019	262.432	366.998	159.992	337.112	175.679	204.39	177.017	283.6	13.4535	255.505	173.554	238.093	212.124	218.341	378.794	202.165	269.597	251.43	298.582	305.989	227.453	400.963	204.096	319.217	276.036	203.261	502.995	254.015	376.986	324.12	203.572	273.371	267.405	267.052	215.025	293.62	244.52	234.01	313.133	247.602	195.782	178.321	284.428	294.024	336.222	134.268	158.911	221.106	306.045	317.803	184.551	241.312	181.23	172.148	639.549	419.938	85.2322	320.627	138.227	304.516
PWY-7664	255.8	164.342	172.648	0	565.204	292.43	82.7745	108.502	41.7132	63.5016	49.7548	9.3104	11.5683	302.083	287.647	80.3545	190.727	102.529	89.5697	13.4888	134.54	124.326	144.534	96.1432	116.312	68.7059	156.674	66.3415	116.972	31.8453	251.362	52.8065	87.774	119.046	165.171	49.7076	85.88	48.1518	186.734	157.814	183.607	141.94	166.322	65.182	82.1223	337.283	159.702	59.3288	86.8472	58.5584	48.6086	55.0062	270.752	166.248	91.1245	320.428	135.244	246.504	92.5759	137.173	153.976	231.565	4.67556	165.151	171.182	191.807	173.169	118.926	52.694	124.881	131.328	111.552	150.881	35.5213	13.9619	111.309	110.689	248.184	58.0338	137.762	151.684	209.485	174.028	299.578	144.966	119.003	186.679	176.229	159.863	229.022	183.644	110.131	115.999	118.356	148.315	44.157	168.601	85.0875	81.9859	93.45	98.914	129.697	75.9406	44.5594	144.652	13.8761	83.741	47.5207	2.64405	311.192	61.591	231.07	126.329	41.3751
PWY-7688	0	0	0	0	0	78.5194	0	0	0	0	0	0	0	2.61726	0	0	0	0	0	0	3.96804	0	0.799268	0	0	0	0	7.34218	0	0	0	3.70502	0	0	0	0	0	0	0	0	0	0	0	0	0	8.36823	5.51278	0	0	0	0	0	39.9131	0	0	0	0	0	9.32229	3.21216	15.7534	10.3499	0	0	0	0	0	1.68413	0	0	0	0	0	0	0	0	0	5.81825	0	1.49304	1.14833	0	43.055	4.31405	0	1.95759	0	3.73434	0	0	1.42331	0	0	8.88355	0	0	0	0	0	0	0	1.98319	0	0	0	0	0	0	0	0	0	5.2912	0	44.1523
PWY-7723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23268	2.0508	0	4.36113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545794	0	10.9082	0	0	4.60303	11.7461	16.7806	0	0	0	0	0	0	0	0	0	1.74693	4.22844	2.39409	0	0	0	0	0	12.581	0	2.04469	0	0	0	0	0	2.42935	0	3.80448	0	0	2.91144	3.7409	0	0	0.999255	5.26597	0	0	0	0	0	2.26005	2.5026	2.48216	0	0	0	2.10533	0	1.72605	0	2.99695	0	0	0	0	0	0	0	0	0	0	0	0	3.21811	0	0	0	1.51852	0	0	0
PWY-7731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70955	6.97807	0	0	0	0	0	0.839023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7754	0.762419	3.98601	6.0112	0	0	0	0	0	0	0	1.62665	0	0	0.73535	0	0	0	0	0	0	0	0	2.68844	0.916932	0	19.7161	11.4188	0	0	0	0.613236	0	0	0	0	0	0.453658	0	0	0	0	0	0	0	0	3.77198	0	0	4.30232	0	0	0	0	0	0	0	0	0	2.91537	0.726832	0	0	0	0	0	0	1.70827	0	0	0	0	0	0	0.830163	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18309	0	0	0	0	0	0	0	1.90336	2.26746	0	0	0	0	0	0	0	0.701668	0	3.25437	0	0	0	0	0	0	0
PWY-7761	78.1391	52.5523	41.3724	43.6276	10.0855	124.781	112.844	66.2143	164.591	224.622	60.8517	102.966	28.711	57.0824	177.708	19.9471	42.3251	29.575	165.847	55.8504	94.4926	72.6021	67.1887	88.555	106.631	115.747	90.1642	129.384	109.614	131.99	201.625	57.3376	207.907	81.3948	274.814	82.9034	96.1853	157.512	184.881	71.3337	100.575	136.559	160.385	69.3028	123.28	83.4432	64.1865	181.903	250.243	220.934	28.157	169.552	103.796	89.0125	54.1797	140.685	82.4503	51.4336	207.545	190.086	74.4695	67.5871	0	316.622	255.918	49.5175	152.74	90.913	156.421	106.708	135.66	116.571	77.9322	103.94	73.0272	45.8914	104.212	73.4554	63.9425	70.0957	63.9884	77.7649	21.9726	89.0142	54.3577	88.459	90.2485	56.7025	66.3979	73.847	42.9563	152.598	56.9234	152.576	58.0916	133.323	56.1782	50.9184	20.8413	111.458	65.8334	128.43	29.9857	35.0885	137.098	61.7271	281.274	97.9214	48.5087	186.77	139.225	91.3731	195.806	35.8361
PWY-7783	0	0	0	0	0	32.7377	0	0	0	3.83877	0	0	0	0.843476	4.36317	0	0	0.792565	0	0	0	1.32526	0	0	0	0	0	0	0	0	0	0	0.670771	0	0	0	4.31517	0.802546	6.19549	1.118	0	2.43407	0	0	0	0	0.722342	0	0	0	0	1.14582	0	0	0	0	1.21692	0	0	5.18123	0	0.620581	0	2.67219	0	2.41139	0	0	0	1.32744	0	0	2.54358	0	0	0	0	0	0	0	0	0	0	0	0	1.03206	0	1.36286	0	0.708508	0	0.477732	0	3.39994	0.376081	0	0	0	0	0	0	1.35839	0	0	0	0	0	0	0	0	0	0	0.52274	0
PWY-7784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84614	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7790	300.609	485.739	470.763	680.359	455.222	356.027	379.241	488.631	470.513	763.149	497.031	834.204	405.39	406.683	286.27	419.531	586.815	789.485	643.569	516.909	468.764	284.973	586.186	543.768	569.422	589.019	581.751	501.02	719.761	938.153	595.893	454.673	473.584	587.572	639.203	558.395	595.093	497.206	485.67	711.848	566.816	568.323	471.189	592.198	715.587	647.998	572.472	681.207	669.953	704.928	550.748	711.931	440.777	436.508	440.439	390.193	701.801	565.599	547.536	554.44	592.297	418.991	480.385	624.185	552.631	483.622	538.411	566.605	398.075	473.271	443.262	549.653	529.778	561.183	737.36	566.783	540.008	511.268	666.057	463.922	818.981	445.289	484.826	413.284	711.171	575.895	623.01	416.733	522.96	450.596	653.087	530.269	615.522	512.107	541.667	489.265	561.066	342.913	459.492	628.447	622.945	580.749	646.963	625.6	440.37	547.027	638.634	646.513	988.835	406.729	575.811	530.283	529.377	515.666
PWY-7791	300.609	485.739	470.763	680.359	473.626	356.027	379.241	488.631	470.513	763.149	497.031	834.204	405.39	406.683	286.27	419.531	586.815	789.485	643.569	516.909	468.764	284.973	586.186	543.768	569.422	589.019	581.751	501.02	719.761	938.153	595.893	454.673	473.584	587.572	639.203	558.395	595.093	497.206	485.67	711.848	566.816	568.323	471.189	592.198	715.587	647.998	572.472	681.207	669.953	704.928	550.748	711.931	440.777	436.508	440.439	390.193	701.801	565.599	547.536	554.44	592.297	418.991	480.385	624.185	552.631	483.622	538.411	566.605	398.075	473.271	443.262	549.653	529.778	561.183	737.36	566.783	540.008	511.268	666.057	463.922	818.981	445.289	484.826	413.284	711.171	575.895	623.01	416.733	522.96	450.596	653.087	530.269	615.522	512.107	541.667	489.265	561.066	342.913	459.492	628.447	622.945	580.749	646.963	625.6	440.37	547.027	638.634	646.513	988.835	406.729	575.811	530.283	529.377	515.666
PWY-7805	30.828	9.39033	5.38373	0	0	34.2483	0	0	1.96901	12.3744	0	0	2.05639	0	58.5855	0	0	1.28591	0.744032	0	3.19564	5.81011	6.40202	0	0	0	0	2.44584	0	0	0	0	0	3.32947	11.161	1.02958	4.81009	0.62988	8.60735	2.29964	10.0233	7.12336	3.11093	0	0	0	0	0	0	0	0	2.53036	6.41965	0	10.0589	6.16569	0	0	0	4.67514	1.02392	10.4808	0	40.8359	0	6.63053	19.767	1.60612	0	5.06988	3.56257	0	0	0	0	0	1.45591	3.09865	0	0	0	12.9426	0	1.49531	0	0	2.18442	6.23594	2.94403	28.3641	0	4.80643	0	1.42043	0	0	1.04686	0	0	0	0	5.91957	0.399261	0	0	0	0	0	0	0	7.27341	0	0	0
PWY-7807	32.1353	14.836	5.42051	0	0	43.295	0	0	1.89376	22.0632	0	0	2.22048	0	57.7477	0	0	1.4278	0.697652	0	9.77267	5.75563	11.1456	0	0	0	0	2.81905	0	0	0	0	0	3.16604	12.8561	1.01703	4.94026	0.661937	8.98858	2.15516	9.83068	8.12996	2.87219	0	0	0	6.1896	0	0	0	0	2.59268	6.22581	0	14.5227	5.59887	0	0	0	4.39818	0.916511	10.0338	0	41.5635	0	6.96598	22.029	1.52923	0	5.31228	4.53376	0	1.01586	0	0	0	1.53914	3.12636	0	0	0	15.9832	0	1.60163	0.294048	0	2.20154	7.70246	2.86764	30.1647	0	6.08169	0	1.28947	0	0	1.36852	0	0	0	0	6.43163	0.375299	0.666453	0	0	0	0	0	0	7.31155	0	0	0
PWY-7820	0	0	0	0	0	0	0.692059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300863	1.08863	0.831335	1.63765	0	0	0	0	0	0	0	0	0	0	0	0	0.961206	0.626339	0	0	1.21294	0	0	0.610351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945755	0	0	0	0	0	0	0	0	0	0	0	0	1.97277	0	0	0	0	0	0	0	0.500573	0	0	0	0	0	0	0	1.91946	0	0	0	0	0	0	0	0	0
PWY-7832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7851	251.626	379.084	365.359	609.431	427.38	311.123	314.104	382.874	187.218	677.964	360.421	303.212	54.0478	227.512	238.099	367.505	491.551	679.116	517.641	434.576	397.093	233.824	456.022	429.411	468.258	539.246	505.415	332.913	497.06	770.592	478.061	198.979	363.981	499.253	523.415	148.093	492.231	277.309	394.018	517.876	429.68	413.489	363.38	469.24	507.529	535.947	463.847	549.212	455.329	553.403	454.059	487.987	362.165	398.979	368.484	350.481	558.524	457.071	378.457	441.71	489.307	346.458	7.19527	556.195	395.437	392.581	433.356	435.009	345.836	342.6	314.509	420.309	401.738	373.564	458.305	479.792	236.054	409.353	495.139	390.303	403.768	348.004	383.593	356.535	515.495	448.966	473.134	333.558	423.111	407.339	487.858	358.827	505.707	422.442	432.65	405.32	414.266	202.01	386.513	519.953	510.778	457.074	495.279	494.433	342.279	444.235	568.972	488.591	801.365	305.875	478.755	423.354	91.8416	414.435
PWY-7858	64.0453	26.2973	10.2664	0	485.695	82.407	1.98925	12.9764	7.35794	35.3	0	0	2.62942	15.722	154.068	0	0	1.7778	2.60503	3.82127	9.86559	24.5657	9.94493	0	0	0	6.19906	7.40933	0	0	0	5.33961	17.9068	19.9473	22.9224	0	14.4097	8.26111	40.5509	14.3184	40.5053	30.2591	52.4369	6.61227	0	0	24.7147	0	16.4156	0	0	12.3021	47.8091	11.6094	26.5093	96.3248	6.74487	14.8593	0	60.9661	18.4925	35.6699	2.71053	53.4399	17.7231	18.2707	40.4106	11.4148	0	15.343	10.959	0	10.6735	4.41787	0	0	4.76341	28.7099	2.02512	0	0	32.3251	0	101.609	5.75842	3.26278	19.5792	21.8146	0.804959	34.0468	2.13718	12.6902	1.24255	48.2556	1.94057	0	3.17862	0	0	2.75212	0	8.60672	7.88243	3.68284	35.3252	4.12822	0	27.0817	1.92422	192.937	15.7646	0	0	0
PWY-7873	8.80532	2.02064	1.94609	0	0	16.182	0	0.580273	0	6.9882	0	0	0	2.30314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65709	0	0	1.7724	0	1.81602	1.82845	1.03487	0	3.76048	0.907169	0	0.411448	2.39956	0	0.507154	0	0	0	1.89631	0	1.00432	5.29962	0	0.837863	0	3.34836	3.74741	4.6661	0	2.17413	0	0.777506	1.24988	1.08952	0	2.0518	1.26822	0	0	0	0	0	0	2.40638	0	0	0	0	0	0	0.31705	0	2.4561	1.63736	0	0	0	1.64245	0	1.6405	0	0	0	0	0	0	0	3.4617	0	0	1.65185	0	0	0	0	0	0.81559	0	0	0
PWY-7874	10.0426	2.6677	2.61574	0	0	18.159	0	1.50847	1.06769	6.9882	0	0	0	2.61861	0	0	0	0	0	0	1.12963	0.927699	2.37819	0	0	0	0.739254	0	0	0	0	0	0	2.65709	4.13747	0	1.94767	0	2.93142	1.82845	3.41619	3.24411	9.9791	1.68724	0	0.411448	2.44622	0	0.856776	0	0	0	3.87354	0	1.89681	14.3992	0	1.55233	0	4.80901	3.74741	5.05793	0	7.28893	3.33942	3.81741	5.30022	2.70964	0	2.0518	1.31398	0	0	0	0	0	0.684207	2.40638	0	0	0	4.33991	0	0	0.31705	0	3.27189	1.91224	0	0	0	1.99488	0	2.49248	0	0	0	0	0	0	0	3.4617	0	0	6.6717	0	0	0	0	0	2.05767	0	0	0
PWY-7883	5.55014	10.5687	1.08949	0	0	49.1314	15.4671	27.0995	6.5075	17.4862	17.1255	62.5641	0.925026	25.5625	33.7326	0	18.073	14.3303	11.9277	2.68896	27.5282	48.4332	29.831	20.7168	19.3038	0	8.44423	24.6819	0	0	4.0658	41.7993	18.781	4.25443	7.08863	26.2707	6.25333	30.9622	31.8429	5.56703	12.9815	10.2477	17.294	13.9874	15.0083	10.597	33.952	9.49247	6.99449	12.0685	9.11907	5.22706	46.8086	20.7715	39.4733	39.2755	10.9015	30.2701	5.88849	58.7675	6.93194	38.5522	0	20.0511	2.22617	5.07422	11.0591	1.94464	3.28989	34.5627	50.7841	42.1177	27.6055	27.0906	23.4135	18.6305	5.10903	13.7914	1.62698	0	7.90365	9.24674	27.2614	93.5325	27.4456	2.24078	27.2339	19.8695	10.8696	97.2925	28.9581	6.53995	21.4624	43.3955	9.98164	18.8321	30.3376	2.15949	0	6.7709	15.0671	14.8225	9.91927	0.494144	9.06519	3.78492	27.1468	10.8697	0	90.9728	7.50023	32.8813	0	0
PWY-7942	39.5485	17.7528	10.5069	0	1.30956	44.6376	0	15.5346	3.43814	45.9925	0	0	3.3055	11.2511	38.1757	0	3.73704	3.03093	3.29179	0.888443	7.8577	11.3336	8.49748	0	4.42188	0	5.89482	6.32406	0	0	1.9938	4.4934	0	30.8308	33.1588	2.0066	15.3826	0	24.9353	21.3579	71.2848	9.66474	62.3425	18.4934	1.50408	6.67513	9.74807	0	10.1985	1.54654	0	6.38695	26.8464	1.72829	23.2352	47.0597	7.86914	10.5278	0	75.0388	11.5429	23.5992	0	52.9042	17.0692	16.9795	37.3921	33.2796	0	8.35261	4.70914	0	7.26009	12.201	0	0	5.93429	29.2092	0	0	0	29.6516	0	75.4902	1.13038	2.50129	20.0243	15.4244	4.0831	29.7957	3.13953	19.4963	0	29.2474	4.23085	1.52051	1.30593	0	0	0	1.81025	21.1144	5.94795	0	48.2988	0	0	3.58343	0	158.787	14.5988	0	0	0
PWY-7953	305.433	480.684	451.239	461.174	18.9795	385.041	344.61	480.211	492.995	788.475	441.407	853.741	468.793	364.652	395.346	394.87	460.836	410.07	535.818	533.049	426.864	296.024	523.745	487.752	511.538	661.33	624.824	468.983	501.864	500.069	536.096	480.125	433.837	483.502	574.024	554.389	579.912	438.144	453.589	436.354	474.464	469.067	478.887	533.572	582.522	623.542	474.446	661.184	624.368	662.004	471.74	604.864	428.603	444.959	422.53	435.063	574.569	520.64	511.816	454.633	548.096	390.409	25.2603	637.104	527.762	439.205	520.648	514.04	380.272	436.022	481.304	499.851	468.353	511.182	642.178	550.091	479.486	516.838	664.8	433.275	809.186	413.664	462.361	403.354	513.829	500.179	556.335	399.846	471.048	457.02	558.143	450.794	575.764	570.35	503.324	466.627	509.781	273.612	401.442	525.312	540.099	513.892	559.975	536.328	431.166	565.326	485.809	772.795	315.053	409.696	615.161	512.983	538.972	469.385
PWY-7977	326.197	408.554	409.778	559.795	12.4162	404.966	340.012	362.81	509.063	424.531	327.434	628.605	54.7634	240.79	368.226	413.203	411.508	334.68	448.241	387.437	416.972	251.328	408.098	399.497	438.056	354.007	400.213	480.378	562.24	249.752	381.716	463.05	341.407	530.899	340.943	559.092	530.609	460.521	294.75	615.457	492.323	476.551	413.611	433.512	477.723	490.883	416.313	533.411	278.804	359.642	394.531	425.553	384.081	391.456	349.62	419.601	443.931	453.025	320.718	467.872	482.836	386.295	0	407.695	373.284	379.942	458.08	465.185	329.828	406.037	423.682	430.729	434.83	526.192	545.01	504.853	379.711	455.449	476.289	472.012	569.512	322.255	421.472	425.986	561.018	479.613	464.109	389.381	418.959	397.317	508.002	468.874	486.123	467.163	493.219	323.093	337.021	213.012	430.818	416.186	423.574	367.299	441.71	466.436	387.741	359.3	508.09	253.279	178.683	518.294	435.538	502.298	171.858	427.002
PWY-7992	0	0	0	0	0	0	18.8585	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2222	0	0	0	17.3366	0	0	0	0	0	0	0	0	0	0	0	0	0	5.44944	8.25049	0	0	0	7.18577	0	0	0	0	0	0	0	1.24029	6.96065	41.0738	36.5793	0	0	0	0	0	0	0	0	0	0	38.3258	20.0873	0	0	28.3711	0	0	0	6.61236	0	35.5334	0	0	0	9.92434	0	0	0	0	17.7291	83.2731	72.1899	0	0	0	0	0	0	0	0	0	5.4028
PWY-8004	165.406	84.4472	97.3302	36.36	23.355	191.134	142.693	78.3415	26.2115	199.511	47.8225	25.8863	8.56617	71.4781	256.55	89.4067	110.302	76.8541	112.664	41.6411	153.101	93.4312	82.2126	87.9447	156.366	68.4183	93.976	60.9981	193.666	98.4493	133.661	46.0521	78.3634	194.534	170.728	64.5615	146.572	57.7066	90.4929	38.3856	116.322	171.182	130.156	58.0647	146.614	126.654	58.4205	83.5744	133.735	148.381	63.4012	142.396	141.466	144.437	148.507	187.03	133.933	129.178	215.852	180.919	156.225	124.462	3.19672	187.667	168.962	154.626	112.525	96.0511	190.633	138.305	73.4884	146.736	139.884	98.4319	145.632	216.426	95.3624	113.05	57.3177	181.616	105.298	142.91	136.537	106.488	215.353	145.044	151.352	113.398	82.7866	159.919	106.264	125.342	97.939	77.3613	181.213	156.667	118.674	113.833	135.518	167.263	136.353	67.1246	33.2553	42.0365	95.8298	49.7596	196.249	20.9462	98.0757	134.787	73.1006	72.238	13.3987	95.3947
PWY-8011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-801	0	13.813	9.53346	2.44006	1.61068	5.10766	16.8512	3.48109	5.43133	31.2576	0	0	20.8807	14.9295	12.1549	0	16.1455	3.31449	2.46366	0	4.38305	7.72942	22.1968	0	0	0	3.68795	1.44841	8.4525	6.46096	1.89574	2.16038	7.34945	8.80371	18.2138	0.803709	14.4077	0	31.5023	8.38017	23.8762	15.5177	40.742	7.58206	0	0	11.0044	23.1407	11.3438	2.31775	3.22952	1.36353	12.6233	2.39361	6.46068	25.9075	0.621307	5.19847	97.6705	14.4285	13.3977	23.834	5.13493	35.6718	11.4754	10.2693	15.5805	8.2731	20.2271	9.47319	4.24142	0	2.47885	4.62168	0	3.35014	3.11722	7.44087	0	0	41.197	12.0997	1.32832	40.9695	0.833739	1.57021	11.7336	4.29083	4.60811	33.9428	3.52326	5.18365	1.63521	3.76363	11.8729	2.25499	6.66128	2.11838	0	0.864312	0.752638	33.0762	3.59788	0	33.0766	1.77601	13.2935	0	79.9214	61.7813	4.94231	0	0	0
PWY-8055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8073	154.648	186.656	108.692	0	2.6869	168.175	76.6304	84.9217	23.3513	51.8254	105.662	197.462	13.6161	38.6173	191.136	142.638	73.1619	20.089	25.2222	0	76.7113	78.7051	51.352	113.549	73.9593	9.65803	100.179	36.3274	10.8068	1.99832	17.0936	89.6297	13.4699	32.0256	63.3554	29.6652	13.4827	34.8546	73.5807	35.4501	132.758	47.3997	122.067	38.392	39.8152	31.2927	43.7083	11.7481	12.3876	41.8893	57.3773	32.1113	76.6169	90.9343	178.567	270.697	13.4993	51.892	34.5304	54.1235	44.279	104.118	0	62.6214	40.6279	97.8891	148.049	115.031	125.227	46.1654	82.9313	84.5431	67.6254	84.3518	74.7842	199.374	25.9636	131.449	122.795	72.3587	73.2983	118.21	177.348	132.763	19.4254	11.6461	89.0103	76.2835	58.7958	163.972	87.8288	30.3444	102.222	64.6202	39.9793	45.482	155.533	32.7004	68.3897	20.0805	39.7218	130.94	145.481	114.597	104.631	3.6762	37.2777	9.44861	82.6822	154.19	28.8941	41.64	0	89.8287
PWY-8086	0	0.531534	0	0	0	0	0	3.46064	0	4.9495	0	0	0.605062	0	13.684	0	0	0	1.20811	0	0	4.3058	0	0	0	0	0	0.98446	0	0	0	0	0	4.48435	6.74263	0.423117	0.544555	0.233517	3.30276	0	0	0	4.27013	3.5298	0	0.520935	0	0	0.554105	0	0	2.0661	7.95756	0	0	3.64623	0	3.03037	0	7.85832	0	3.78051	0	11.1448	0	0	6.26705	2.7828	0	0	0	0	0	0	0	0	2.30751	2.98886	0	0	0	0	0	0.271965	0	0	5.36958	4.28864	0.998307	15.6013	0	1.15359	0	5.00869	0	0	0	0	0	0	0	6.83262	1.37867	0	8.36165	0	0	0	0	0	3.87132	0	0	0
PWY-8112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2195	0	0	0	0	0.865079	0	0	0	0	0	0	0
PWY-8113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14911	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01161	0	0	0	0	1.61838	0	0	0	0	0	0	0
